track_name,artist_name,album_name,duration_minutes,spotify_url
Dark Ambient,Jonathan Mantras,Instrumental Songs for Sleep (Relaxation Music),4:19,https://open.spotify.com/track/1BDXBtzvBze6r8nZn5uhN2
Angels in Dystopia,Toshifumi Hinata,Angels in Dystopia　Nocturnes & Preludes,5:03,https://open.spotify.com/track/6nwpUOeFXdihQBsmphWTFJ
Instrumental Asylum,Lifelover,Sjukdom,4:52,https://open.spotify.com/track/4kWPRGJPMWdkl2eLh68S2W
Despair,Pawel Blaszczak,Dying Light (Original Game Soundtrack),2:20,https://open.spotify.com/track/6Yk7spN0S8NxgTX7T6hBKY
Ambient Instrumental Fall Studying and soft rain,Instrumental Music for Study Focus Concentration Sleepp,POV: Fall Autumn Dark Academia Instrumental Study Music vibes with Rain,0:58,https://open.spotify.com/track/2AE0pBQ7UqrbIDZIYCTgId
Particle Storm,Alphaxone,Chronosphere,6:28,https://open.spotify.com/track/0wOcpPyQCirtTSWiLw8C7o
Gothic Style,Background Music Attention,"Gothic, Atmospheric, Dark Ambient",4:58,https://open.spotify.com/track/7bdKDW2FlULw5lveXzESjp
Ambient Sad Piano,DS Productions,Ambient Sad Piano,1:51,https://open.spotify.com/track/5EmcZaEDX7da0wWxklX71m
Demolition,Pawel Blaszczak,Dying Light (Original Game Soundtrack),4:29,https://open.spotify.com/track/7ICRrDh843pWpXlex8vlqz
Dystopia,Neutrin05,Dystopia,3:28,https://open.spotify.com/track/6N1lZfdZa9O1jtaQWJOix1
A Lonely Strain,Apocryphos,Onyx,9:32,https://open.spotify.com/track/5NwmODyk4rlXKDPJ7iJzBn
Atmosphere study ambient focus with rain,Instrumental Music for Study Focus Concentration Sleepp,POV: Fall Autumn Dark Academia Instrumental Study Music vibes with Rain,1:13,https://open.spotify.com/track/42wnR8ezH8KXQDmoDnXxXx
Melancholy,NyxTheShield,Glitchtale: Dust (Original Motion Picture Soundtrack),2:00,https://open.spotify.com/track/2kFOQ1piUJYpgJgfJetEZb
Avenoir,Apocryphos,Onyx,3:41,https://open.spotify.com/track/1ejiTqHP8Zjz6EXdwpbnNu
Dystopia,Faux Tales,Dystopia EP,4:37,https://open.spotify.com/track/25lpQVi6P15DNxULBeqX4A
Survival,Sabled Sun,2147,4:28,https://open.spotify.com/track/3l8WNCyIzxvJT8JEkcJetm
Doomsday Clock,Conquering Dystopia,Conquering Dystopia,2:15,https://open.spotify.com/track/0FjZ30ReH1DZ3kDPF0SrLl
Dark Gothic Ambient,Myers Music,Dark Gothic Ambient,9:47,https://open.spotify.com/track/2ws6kNhcXQTuunftYY1ZI6
