track_name,artist_name,album_name,duration_minutes,spotify_url
Epic,ProLuxeStudio,Epic Trailer Music,1:48,https://open.spotify.com/track/6Q8XE4IQBYZ1J8T5UKiOiT
Adventures,Philipp Beesen,Adventures,2:58,https://open.spotify.com/track/6hx8jCMbZGMko6WolKRb3m
Stormcaller,Epic North,Rising Storm,2:56,https://open.spotify.com/track/2VKIkiJL5BPkOKvVoqT4sO
Enchanted Forest,Ambient Realms,"Massive Ambient Music, Vol. 4",6:19,https://open.spotify.com/track/4Sy1qiDuiDIiS46x8YrEAS
Epic City View at Dusk,Ambience Mastery,Cyberpunk City Night Ambience,5:18,https://open.spotify.com/track/4nJbMu0p0keAO33RNAE7z5
Epic,Morninglightmusic,Nine,2:16,https://open.spotify.com/track/7kwx8a77ZaFQx03R4LWbcU
Epic Happy Inspiring Orchestral,Carlos Estella,Epic Heroic Orchestral,2:07,https://open.spotify.com/track/5oqO8gP9Su4EL1W4Sus4C4
The Forest Spirits,Epicland,Songs of Ancient Times,3:02,https://open.spotify.com/track/6K5gVV1uYasqzd7LPQTFiq
Epic Emotional Dramatic Voices,Carlos Estella,Emotional Cinematic Voices,2:07,https://open.spotify.com/track/2l4TwvXDHVU0dUP9nAAlZC
Epic Ambient Gregorian Chants,Carlos Estella,Epic World Cinematic Music,3:02,https://open.spotify.com/track/3erfncEor2Wn1zGitsJs1U
Epic Inspiring Cinematic,Carlos Estella,"Carlos Estella, Vol. 5",2:12,https://open.spotify.com/track/7dOKSvXxHnojE3QS96LLdc
Mysterious Swamp Lands,Ambient Realms,"Massive Ambient Music, Vol.3",3:06,https://open.spotify.com/track/4kL7dtu4jDTsiG2WB5VaEg
"Dark Depths (ambient, suspense, exploration)",Tabletop Rpg Music,Tabletop RPG Music: Volume 4,2:56,https://open.spotify.com/track/4ckWNjA9acojSBFoddwVsD
Cinematic Background,AShamaluevMusic,Epic Inspirational Music,3:27,https://open.spotify.com/track/2lH0agULGrWH5hSiMObrcA
Epic,DM Production,Epic,2:07,https://open.spotify.com/track/6r6QbRdjpX76DgCBQJiTHw
Inspirational Epic,Mapa,Epic,2:45,https://open.spotify.com/track/7pumJFZi3HRomn8Z2VlDNQ
Epic Heroic Orchestra,Carlos Estella,Epic Heroic Orchestral,2:33,https://open.spotify.com/track/4oOC0ncjU2LjOoynI5eBYz
Epic Orchestra,Carlos Estella,Epic Heroic Orchestral,2:15,https://open.spotify.com/track/4codIxiC7YASZyKweRuoax
Epic,StereojamMusic,Epic Inspirational Music,2:13,https://open.spotify.com/track/1oDnq80ZmzAvITI3QTlBYd
Ambient Music,331Music,Royalty Free Background Music,2:04,https://open.spotify.com/track/7Go9P5H81k4HhvLZHSSBr6
Epic Uplifting Melodic Orchestral,Carlos Estella,Inspirational Cinematic,2:25,https://open.spotify.com/track/55FHNe7SMsW0Rf5Php7vNC
Epic Fantasy,StereojamMusic,Epic Inspirational Music,2:28,https://open.spotify.com/track/2YE4PjD65Iy374Wlii4A8l
Dark Halls,Ambient Realms,"Massive Ambient Music, Vol.1",3:13,https://open.spotify.com/track/5036QG2w0Ew2AyEHNZmB8e
The World Above Us,Patryk Scelina,Odyssey,3:23,https://open.spotify.com/track/3fndRCa6M4j1hbXDBYgJtO
Beyond the Stars - No Choir,Gothic Storm,Epic Emotional Electronica,2:36,https://open.spotify.com/track/5LwxPjTvHnr3vuBQux0WXE
Legend,Epic Foundry,Heroic Epics,2:36,https://open.spotify.com/track/6VW3OsoIQLxe0OLWWGzwmL
Garden of Ice,Epic North,Skygate,3:15,https://open.spotify.com/track/7u26amanz4b0ImPyhnbrsh
Aether,Peter Roe,Battle Angel,4:00,https://open.spotify.com/track/30m1Ofto5joQLrcNKdfJqd
Landscapes (atmosphere),Tabletop Rpg Music,Tabletop RPG Music: Volume 9,2:30,https://open.spotify.com/track/4XEfLPr8ZxDKZXVZ7ayt3A
Epic Emotional Choir,Allen Grey,Epic,2:31,https://open.spotify.com/track/3oc6r1Yh13Znwn6OpGcg5v
Writing Music Ambient,Writing Music Inspire,Writing Music Ambient,1:42,https://open.spotify.com/track/5LYXEa5JPqS9JsNRXkYgd8
Epic Motivational Cinematic,StereojamMusic,Epic Inspirational Music,1:42,https://open.spotify.com/track/20aC9o04SFjGbH94MW0iEK
Star Guide,Epic North,Skygate,2:57,https://open.spotify.com/track/01EG0suU8elx5quCdcUkVQ
Colonization,Soundcritters,Colonization,2:32,https://open.spotify.com/track/7tqDgWag3b8OTqSLpLA7Ug
epic ambient music​,Lepone,Música de Guerra Épica,3:11,https://open.spotify.com/track/3X2YukfGlkZESJ87d9kguX
Epic Adventures Journey,Audiosphere,Epic & Cinematic,2:20,https://open.spotify.com/track/2b5klMb0tW73DXyw84HKU0
Epic Choir,Allen Grey,Epic,2:27,https://open.spotify.com/track/2ntXw8V80ie0QEMKNyVlCH
Dramatic Epic,Mapa,Epic Battle,2:30,https://open.spotify.com/track/3K2HSoCQQGaecX8yeEEk5R
Medieval Fantasy City Stores,Ambience Mastery,Epic Fantasy Adventures (Orchestral Instrumentals),2:07,https://open.spotify.com/track/2oGyIRCBpeuuQIHcvvcNKq
Epic Soundscape,Epic Soundscapes,Calming Atmosphere Waves,2:07,https://open.spotify.com/track/23K3EiLNLh6sj3crO55cEF
Motivational Epic,StudioKolomna,Legacy pt.2,2:24,https://open.spotify.com/track/4z33UNaUmH7daXyxcC89Fn
Patriotic Epic,Mapa,Epic,2:02,https://open.spotify.com/track/0ejwKHPdMYLXI744OTGtJv
Epic Adventure,Florews,Epic,2:04,https://open.spotify.com/track/3v0zD3jGQmOPirPkmw1yGh
Gates,Instrumental Core,Gates,5:41,https://open.spotify.com/track/51H89LG1oQW03VYMiYcicG
Ambient Cinematic Score,Romansenykmusic,Soft Cinematic Soundtracks,2:17,https://open.spotify.com/track/5k8NwGYULYO9qGVWAzjFPu
Epical Dramatic Background,DensoMusic,Epic Motivational Music,2:39,https://open.spotify.com/track/18xwGc7gIw9cnvnTgfriu1
Relaxing Music Epic Fantasy,Music Body and Spirit,Meditation,43:36,https://open.spotify.com/track/7mnZIhkoge97LjC3QZh5i2
Epic Inspiration,StereojamMusic,Epic Motivational Music,2:15,https://open.spotify.com/track/0d7n38748YguPnhrE6EI1D
"Hall of Forgotten Heroes (ambient, exploration, suspense)",Tabletop Rpg Music,Tabletop RPG Music: Volume 7,3:17,https://open.spotify.com/track/23gpx8Blt7WetorpS9xcTy
Atmospheric Background,Space Radiance,Ambient Space Music,1:03,https://open.spotify.com/track/7yvgHgfDy9kp9aeon8SdsW
Last Heroes,Carlos Estella,Epic,2:08,https://open.spotify.com/track/3eFYDOKzmtl013lERXJufD
Cozy Tavern,The Vault of Ambience,Cozy Tavern,182:02,https://open.spotify.com/track/1tn98JThfdbMhAFP5HHhxA
"Gothic Lands (exploration, ambient, suspense)",Tabletop Rpg Music,Tabletop RPG Music: Volume 5,2:55,https://open.spotify.com/track/6wv3e2ePHYuyNPZvFU1qCP
Ambient Instrumental Theme,Ambient Sound Center,"Dramatic Ambient - Gothic Dark Fantasy Ambient, Sad & Somber Background",3:39,https://open.spotify.com/track/6jX3ZxbLz7mHzY7GMVa6LG
Epic Ascent,Gothic Storm,Epic Orchestral Euphoria,1:55,https://open.spotify.com/track/79RGKyBoI3Ye62hoOkjXYc
Ambient Inspiration,DensoMusic,Ambient Corporate Background,2:44,https://open.spotify.com/track/3TusN0gYe1WDnsNm7d25rA
Epic Inspiring Adventure Cinematic,Carlos Estella,Epic Heroic Orchestral,2:23,https://open.spotify.com/track/5p4bNEa0mNsZ2pRfgyI1n2
Epic Orchestral Adventure Cinematic,Carlos Estella,Epic Heroic Orchestral,2:30,https://open.spotify.com/track/0EPcw8icZsnkFNUT3Ku4uj
Epic Adventure,Mapa,Epic,2:22,https://open.spotify.com/track/5diRBd0ICneQzAI89yp1KQ
Rise Above,Arpegiah,Rise Above,3:23,https://open.spotify.com/track/54KxvWrfFrIgWiXdFFiiYN
Solar Storms,Epic Mountain,Solar Storms,7:54,https://open.spotify.com/track/5v3pfVMyayxOsyWQNSzKV7
"The Serpent's Lair (ambient, exploration, suspense)",Tabletop Rpg Music,Tabletop RPG Music: Volume 6,4:50,https://open.spotify.com/track/4q2c1TPrmvfMbw8MWR3OAU
Space Waves,Epic North,Skygate,2:43,https://open.spotify.com/track/53dECdk8wTwITyM5d0w7D7
Endless Journey,Ambience Fantasy,RPG Ambiance Fantasy - Heroic Fantastic Bard Music,4:28,https://open.spotify.com/track/05TIkKe6xAKeT9zP7dadLS
Power and Grace,Jaidan Van Diepen,Power and Grace,3:31,https://open.spotify.com/track/1RQt3tcdagZrDPxGvJIJqE
Pilgrimage,Jannik,Pilgrimage,4:05,https://open.spotify.com/track/5H2IedbYFbDgkZ2pGy136K
Ambience Fantasy Music,Ambience Fantasy,Fantasy Lullaby Music: 22 Enchanted Majestic Orchestral Tracks,4:54,https://open.spotify.com/track/4c6b7HslhwMZTOS2r7UY9c
The Plagues,Frostudio Chambersonic,Epic Gold,2:58,https://open.spotify.com/track/16XHbAeVRVp8VLwV1Bd2Sv
Set Sail,Dream Cave,Eponymous Shadow,1:58,https://open.spotify.com/track/3IlKZwjlPHjaM3dkV3Nbk2
