track_name,artist_name,album_name,duration_minutes,spotify_url
Scary Ambient Music,Elijah Ages,Horror Peaceful Halloween Party,3:53,https://open.spotify.com/track/28HTOOtto8niTE5i5Pe6wo
Rainy Ambience: Evil Lurks,Scary Halloween Night Ambient,Haunted Forest Ambience: Creepy Halloween Music full of Scary Sound Effects and Spooky Noises,3:24,https://open.spotify.com/track/7q0I71nvMW93gmnB68oBLU
Creepy Ambiance 2,Rik Schaffer,Vampire: The Masquerade - Bloodlines (Original Soundtrack),3:38,https://open.spotify.com/track/4j2nVMByR6yY7OhdJkrIQs
Scary Ambient Music,Jane Maitri,Scary Halloween Music,3:53,https://open.spotify.com/track/0bA4Yw9F1qVTGBsTxsaME0
Atmosphere study ambient focus with rain,Instrumental Music for Study Focus Concentration Sleepp,POV: Fall Autumn Dark Academia Instrumental Study Music vibes with Rain,1:13,https://open.spotify.com/track/42wnR8ezH8KXQDmoDnXxXx
Ambient Instrumental Fall Studying and soft rain,Instrumental Music for Study Focus Concentration Sleepp,POV: Fall Autumn Dark Academia Instrumental Study Music vibes with Rain,0:58,https://open.spotify.com/track/2AE0pBQ7UqrbIDZIYCTgId
"Ambience, Scary Sounds (Voices)",The Darker Star,"Dark Ambient: Dark Ambient Music, Atmosphere Music, Solitude and Melancholy",4:09,https://open.spotify.com/track/3ORWtiRxiPB8C9FRvZpQiw
Lonesome Halls of Ruin,Dead Melodies,The Foundations of Ruin,3:00,https://open.spotify.com/track/2Xqku7rH3e7fhBfDUsOTYz
Dark Forest Motion,Ambient Realms,"Massive Ambient Music, Vol.1",3:13,https://open.spotify.com/track/3xSc6QM5pnd34AfZTKJnMx
Gloomy Reminiscences,Tavlı,Gloomy Reminiscences,2:01,https://open.spotify.com/track/7gTxz8n5gn4RU9e5iDZOoN
Dark Sunset Arr. For Cello And Piano,Nature Dreams,Dark Sunset Arr. For Cello And Piano,1:00,https://open.spotify.com/track/4d126bJ6EjgBB0WYzFHjv0
Ambience: Spooky Forest,Sound Collective,98 Scary Sounds,2:34,https://open.spotify.com/track/48zBAS5eTHhbpbzhsysfrr
Anxious,Edward Eclipse,"Evil Background Songs - Spooky Scary Music, Dark Ambient Horror Story Background",4:53,https://open.spotify.com/track/6HxFeZiCm8jwQg1r5o69gb
Ouverture,Dark Sanctuary,Exaudi Vocem Meam I,2:33,https://open.spotify.com/track/4Sk5RrB6fSe9tzvWnlSkdB
Ghost Forest,Ambient Realms,"Massive Ambient Music, Vol.3",3:02,https://open.spotify.com/track/1KHME5RoijB0wgre1LJfpI
Ambient Suspenseful Background (Original Motion Picture Soundtrack),Acoustic Instrumental Vibes,Ambient Suspenseful Background (Original Motion Picture Soundtrack),2:06,https://open.spotify.com/track/1M6GOFvY9YviLMRlTUZm1V
"Gothic Lands (exploration, ambient, suspense)",Tabletop Rpg Music,Tabletop RPG Music: Volume 5,2:55,https://open.spotify.com/track/6wv3e2ePHYuyNPZvFU1qCP
Experimental Dark Ambient Cellos,Rafael Krux,Experimental Dark Ambient Cellos,2:45,https://open.spotify.com/track/761F82V78gykTirxID9OMJ
Darkness Falls: Horror Ambient,Horror Music Collection,Haunted Forest Ambience: Creepy Halloween Music full of Scary Sound Effects and Spooky Noises,3:38,https://open.spotify.com/track/59EcWQqZEFyAK68Mz4AQZF
Creepy Ambient: Raven’s Hollow,Scary Halloween Night Ambient,Haunted Forest Ambience: Creepy Halloween Music full of Scary Sound Effects and Spooky Noises,3:39,https://open.spotify.com/track/0pyArTypZCbNvXmZmN2PwE
Mystery Background,Petar Milinkovic,"Mystery Music, Set 13",1:43,https://open.spotify.com/track/5RqBOeV9enFqfLwXUV0nIZ
Silent Crisis,Gothic Storm,Enigma - Emotional Chamber Thrillers,2:15,https://open.spotify.com/track/38rOOAguVZnQyIUeJDDHEd
No Clues,Gothic Storm,Enigma - Emotional Chamber Thrillers,2:12,https://open.spotify.com/track/1C4jZAC6Lt7ClSpboErGtJ
Devil Intrigue,Gothic Storm,Enigma Part 2 - Deeper Cello Investigations,2:09,https://open.spotify.com/track/3WNgV81IEMEnk8JRAqhEIL
Spark,Gothic Storm,Enigma - Emotional Chamber Thrillers,2:16,https://open.spotify.com/track/0GlnDuz2qbsjwitUp7UXrq
A Dark Discovery,Kevin Roy Kerrigan,Spooky & Scary,2:14,https://open.spotify.com/track/2T1w8wKmmOlNWeqAAgEtKV
Dark Attraction,Gothic Storm,Enigma Part 2 - Deeper Cello Investigations,2:19,https://open.spotify.com/track/12tdvn2zUxXPvbondA0jVm
Bittersweet Epilogue,Gothic Storm,Enigma - Emotional Chamber Thrillers,2:27,https://open.spotify.com/track/7AKOQaTbq8rL6qK7k5QBUV
Horror Background Ambience,Luca Francini,Darkness,2:30,https://open.spotify.com/track/5nsnpWOCNK2pXIMUCex3Rb
Macabre Night,Gothic Storm,Enigma Part 2 - Deeper Cello Investigations,2:22,https://open.spotify.com/track/5iIDysEJs71NVZwxxDSBYk
Aarnivalkea,Musica Cthulhiana,Ether,7:27,https://open.spotify.com/track/09LEPQZNghGqibzjGyupYM
Best Instrumental Dark Academia Music,Study Music Project,Study Music Playlist for Intense Studying,1:08,https://open.spotify.com/track/0mPyTvGX87BxrjuwgVcOes
Evil background Songs,Edward Eclipse,"Evil Background Songs - Spooky Scary Music, Dark Ambient Horror Story Background",4:49,https://open.spotify.com/track/6jKhevpgl5oiS5shFgutO6
Ambient Focus Sleep Study in soft rain,Instrumental Music for Study Focus Concentration Sleepp,POV: Fall Autumn Dark Academia Instrumental Study Music vibes with Rain,1:01,https://open.spotify.com/track/34LmOtH6OgMGf1djOVgK2c
