track_name,artist_name,album_name,duration_minutes,spotify_url
Prepare for Escape,Geneburn,Prepare for Escape,5:25,https://open.spotify.com/track/5yNsQy0b6TylvsbnHCSKkQ
Dystopia (Instrumental),Stuart Grand,Dystopia (Instrumental),4:00,https://open.spotify.com/track/6RbJwNyyph4xzPbAQapm1W
Dystopia (Original Soundtrack),Hi-Finesse,Dystopia (Original Soundtrack),2:47,https://open.spotify.com/track/7qjUe6dPi2dVhkPH5eGIgR
Emotional Ambient Piano,OlexandrMusic,Emotional Ambient Piano,3:29,https://open.spotify.com/track/1F7dGf03Hpf7qkfjQINjSS
dystopia,thenian,dystopia,2:01,https://open.spotify.com/track/7q264R3DxGt11dFJwt7jxT
Dystopian Overture,Dream Theater,The Astonishing,4:50,https://open.spotify.com/track/1NLujLBH0yxoR31ZlvHK7k
Abandon V3,zYnthetic,SOUNDTRACK FOR THE APOCALYPSE,3:44,https://open.spotify.com/track/4bQT1xQEQsFdzhQOFJW7ZB
Ambient Instrumental Fall Studying and soft rain,Instrumental Music for Study Focus Concentration Sleepp,POV: Fall Autumn Dark Academia Instrumental Study Music vibes with Rain,0:58,https://open.spotify.com/track/2AE0pBQ7UqrbIDZIYCTgId
"Blade Runner Ambience, Pt. 2",(LUX),Blade Runner Ambiences,5:44,https://open.spotify.com/track/3qHdFjRcLSvBMbvlWVCp8T
Scary Ambient Music,Elijah Ages,Horror Peaceful Halloween Party,3:53,https://open.spotify.com/track/28HTOOtto8niTE5i5Pe6wo
Ambient Sad Piano,DS Productions,Ambient Sad Piano,1:51,https://open.spotify.com/track/5EmcZaEDX7da0wWxklX71m
Dystopia,Neutrin05,Dystopia,3:28,https://open.spotify.com/track/6N1lZfdZa9O1jtaQWJOix1
Dystopian Mall,Incorporeal Visions Deluxe,Network Entities,1:00,https://open.spotify.com/track/6gkowH8PXuG2y4uJB0hl1Q
The Experiment,Mick Gordon,Prey (Original Game Soundtrack),1:36,https://open.spotify.com/track/1qw7rktpY93pbEBxwS2ObF
A Lonely Strain,Apocryphos,Onyx,9:32,https://open.spotify.com/track/5NwmODyk4rlXKDPJ7iJzBn
An Epic Empty City,Ambience Mastery,Post Apocalyptic City Ambience,5:08,https://open.spotify.com/track/5GEMaPBGWYVbSkjZlcvugd
Epic City View at Dusk,Ambience Mastery,Cyberpunk City Night Ambience,5:18,https://open.spotify.com/track/4nJbMu0p0keAO33RNAE7z5
Apocalyptic Fog,Ambience Mastery,Epic Dark Sci-Fi Ambient Music,5:16,https://open.spotify.com/track/37oVZGpHvkA57krXAdE0Yi
Experimental Dark Ambient Cellos,Rafael Krux,Experimental Dark Ambient Cellos,2:45,https://open.spotify.com/track/761F82V78gykTirxID9OMJ
Ambient Creatures,Silent Orchestra,"Nosferatu, A Symphony of Horror",1:29,https://open.spotify.com/track/7lTlrKHL4bbL7F4iy139ai
Dystopia,Mike McKee,Dystopia,2:17,https://open.spotify.com/track/4glaM5zsDm8rTkWY6u4AQr
Outbreak,zYnthetic,SOUNDTRACK FOR THE APOCALYPSE,3:03,https://open.spotify.com/track/2T58lMxULMMTnz4vuCXopk
Dark Technology,Ambience Mastery,Cyberpunk City Night Ambience,5:14,https://open.spotify.com/track/3Vt4FXrBltVdr1Pjcik5nd
The Quiet Collapse,New World Orchestra,Dark Ambience,2:33,https://open.spotify.com/track/4cXvkMp38N8A7FrNTN25ok
River of Woe,Phonothek,Styx,2:19,https://open.spotify.com/track/53XbmQtFvzi7asKwEyb8K1
Atmosphere study ambient focus with rain,Instrumental Music for Study Focus Concentration Sleepp,POV: Fall Autumn Dark Academia Instrumental Study Music vibes with Rain,1:13,https://open.spotify.com/track/42wnR8ezH8KXQDmoDnXxXx
Resist,Dystopian Society,Overturned Reality,3:44,https://open.spotify.com/track/6Xugz8fVRUiegiJigG07QA
