track_name,artist_name,album_name,duration_minutes,spotify_url
Touch the Sky - Instrumental,The Worship Initiative Instrumentals,"The Worship Initiative Instrumentals, Vol. 17-26",4:07,https://open.spotify.com/track/77DzxBbBUDhe7mlPdbqEMF
Your Love Remains (Instrumental),Cavetime,A Worship Experience,5:08,https://open.spotify.com/track/2gvIz0s6FpeKWI7JsPMMfP
Peaceful,Instrumental Worship Collective,Peaceful,1:54,https://open.spotify.com/track/3wMAGb04iUbKYys4OZ0Flc
Find - Instrumental,Khamir Music,Find (Instrumental),1:38,https://open.spotify.com/track/1NBazkyKO5q0IlgzPbkoAs
Lost (Instrumental),Khamir Music,Lost (Instrumental),1:21,https://open.spotify.com/track/5psji6ZmN0mK8mlz4QhoRx
Instrumental,"Black Country, New Road",For the first time,5:27,https://open.spotify.com/track/6muaqhrGvRop2JyxjwWHhX
Instrument,Atmosphere,Jestures,2:07,https://open.spotify.com/track/3UoBX7S05jDemDwceUTZN0
instrumental 2,Otismadeit,instrumental 2,2:30,https://open.spotify.com/track/00BxsR1IcAmyOUehyYVldO
Loose Screws - Instrumental,Metro Boomin,Metro Boomin Presents: A Futuristic Summa (Hosted by DJ Spinz) [Instrumentals],3:19,https://open.spotify.com/track/4yDevQ3quSllGMl59KogGV
Issa Party - Instrumental,Metro Boomin,Metro Boomin Presents: A Futuristic Summa (Hosted by DJ Spinz) [Instrumentals],3:35,https://open.spotify.com/track/38pQecY6U6aHuvdLFdN0GO
Still Turnt (Forever B$hot) - Instrumental,Metro Boomin,Metro Boomin Presents: A Futuristic Summa (Hosted by DJ Spinz) [Instrumentals],3:30,https://open.spotify.com/track/3DKLIO5LZbNe5ldyPpBAol
Drip BBQ - Instrumental,Metro Boomin,Metro Boomin Presents: A Futuristic Summa (Hosted by DJ Spinz) [Instrumentals],3:02,https://open.spotify.com/track/6gP3JnGpenXNOUJ7EuDZtB
Jacob and the Stone,Emile Mosseri,Minari (Original Motion Picture Soundtrack),1:38,https://open.spotify.com/track/2nltARCkZyrzjQANViDpuX
"""Instrumentals"" Volume 1 - Part 10",Arthur Russell,First Thought Best Thought,0:30,https://open.spotify.com/track/5KaPPsY6EdPOZSJc9SOB1R
