track_name,artist_name,album_name,release_date,track_id,spotify_url,mood_keywords
Sinister and Vibrant Atmosphere,Sounds Effects Wav Files Studio,Mystery Music. Terrifying Sounds for Scary Atmospheres,2014-01-21,2ipICOtz8E7u1InIW1l709,https://open.spotify.com/track/2ipICOtz8E7u1InIW1l709,suspenseful ominous eerie
Eerie Ambiance,Spooky Halloween Sounds,Monsters' Halloween: Nightmares & The Witching Hour,2024-09-17,2AMmsDwtbskUbCEKFy2VtN,https://open.spotify.com/track/2AMmsDwtbskUbCEKFy2VtN,suspenseful ominous eerie
Dark Ambient (Shadow Self),Dark Ambient Archive,"Dark Ambient, Vol. 1: The Forgotten Realms",2024-11-15,6373jVY8lJLTuhfx7ldaT4,https://open.spotify.com/track/6373jVY8lJLTuhfx7ldaT4,suspenseful ominous eerie
Evil Atmosphere,Dreamspace Music,Evil Atmosphere,2023-01-23,7gJYcvgn52AU7m9uuf4fPU,https://open.spotify.com/track/7gJYcvgn52AU7m9uuf4fPU,suspenseful ominous eerie
Inspiring Motivate Ambient,AndrisMusic,Technology,2021-02-28,3Z8ZgdMTratjoLkqFHeoPD,https://open.spotify.com/track/3Z8ZgdMTratjoLkqFHeoPD,suspenseful ominous eerie
Close Encounters,Cameron McBride,Dark Ambient: Ominous Sinister Soundscapes,2016-05-05,5dp7TvaNKHWdTEL8VCPqEi,https://open.spotify.com/track/5dp7TvaNKHWdTEL8VCPqEi,suspenseful ominous eerie
Eerie Drone Loop Drone Atmosphere,Halloween and Sound Effects,This Is Halloween,2012-09-15,2QwGgJjWPmXm2WBErldOOt,https://open.spotify.com/track/2QwGgJjWPmXm2WBErldOOt,suspenseful ominous eerie
Nightfall Nostalgia,Ambient Dreamscapes,Night Ambience,2024-05-18,5IWbQ7ckSKkLEQ46IK9vda,https://open.spotify.com/track/5IWbQ7ckSKkLEQ46IK9vda,suspenseful ominous eerie
Cafe Ambient Jazz,Explosion of Jazz Ensemble,"Vintage Swing Jazz (Top 30 Instrumental Lounge, Retro Buddha Jazzy Vibes Bar del Mar)",2018-03-09,7J2cs79N0D51gAbitoqMTO,https://open.spotify.com/track/7J2cs79N0D51gAbitoqMTO,suspenseful ominous eerie
Ambient Electronic Chillout Atmosphere,Massacaresound,Ambient Electronic Chillout Atmosphere,2022-04-12,75K6epmXNjhOOWRwQMXfvG,https://open.spotify.com/track/75K6epmXNjhOOWRwQMXfvG,suspenseful ominous eerie
The Witch's Cottage in the Misty Woods,Ambience Mastery,A Haunted and Magical World (Dark Fairytale Music),2023-03-13,0vCmZqDe3jG9c7HzypXwiv,https://open.spotify.com/track/0vCmZqDe3jG9c7HzypXwiv,suspenseful ominous eerie
"A Dark Presence, Horror Ambient Sounds",Halloween Party,"Halloweenfest - Spöklika Ljudeffekter , Skrämmande Ljud, ylar, Skrik",2016-10-17,2C7hUmda0ZtwoNlRhGR9Om,https://open.spotify.com/track/2C7hUmda0ZtwoNlRhGR9Om,suspenseful ominous eerie
Piano Overlord,Dark Domains,Piano Overlord,2023-03-21,58s3V7eohtGl7HFy4AXK2R,https://open.spotify.com/track/58s3V7eohtGl7HFy4AXK2R,suspenseful ominous eerie
Horror Night,Studiolance,ホラー Vol.7 -Instrumental BGM- by Audiostock,2021-03-17,2kfgQeYV1KtOoi1D8kouR1,https://open.spotify.com/track/2kfgQeYV1KtOoi1D8kouR1,suspenseful ominous eerie
Gore & Bloody Sounds and Effects On Dark Ambient Music,Monster's Halloween Party,"Halloween Sounds, Effects and Ambiances",2024-10-18,13ZEhL0BphcPpaPsapQJrI,https://open.spotify.com/track/13ZEhL0BphcPpaPsapQJrI,suspenseful ominous eerie
Suspenseful Epic Theme,AXS Music,Epic Themes,2018-01-22,5z9ndKwVHEguCLPGfGmLsr,https://open.spotify.com/track/5z9ndKwVHEguCLPGfGmLsr,suspenseful ominous eerie
Documentary Dark Background,e-soundtrax,Gravity,2022-03-10,5Rtd04Airx57gUdkwDlOgW,https://open.spotify.com/track/5Rtd04Airx57gUdkwDlOgW,suspenseful ominous eerie
