track_name,artist_name,album_name,release_date,track_id,spotify_url,mood_keywords
Horrible Crickets,Scary Halloween Night Ambient,"Dark Background Music for Scary Halloween Night: Creepy Sounds, Demonic Vibe, Spooky Forest, Haunted Soul",2021-10-13,4zQ6HDoTGHDKv66ByTWZSg,https://open.spotify.com/track/4zQ6HDoTGHDKv66ByTWZSg,eerie ominous haunting
Abandoned Ruins Ambience,Ambience Lab,Environmental Soundscapes: Chapter 1,2019-12-16,4aImhZwq1wshT2Zp7EOEnS,https://open.spotify.com/track/4aImhZwq1wshT2Zp7EOEnS,eerie ominous haunting
Horror Show,Scary Music Orchestra,"Horror Show: High Tension Halloween Ambience, Chilling Music for Scaring",2019-09-04,4QqawqsbeE2Wl5nZrknXWG,https://open.spotify.com/track/4QqawqsbeE2Wl5nZrknXWG,eerie ominous haunting
Dark Ambient New Age,Soundscapes,Soundscapes – Ambient Sounds Relaxation Music,2015-01-13,6nVQaq1wGd0wu45w5RAr8G,https://open.spotify.com/track/6nVQaq1wGd0wu45w5RAr8G,eerie ominous haunting
Terror,Ambient Realms,"Massive Horror Ambience, Vol. 1",2018-10-11,2g2bc2tAP3JZBZw6eQjmh5,https://open.spotify.com/track/2g2bc2tAP3JZBZw6eQjmh5,eerie ominous haunting
"Halloween Spooky Ambience, Pt. I",Ambient Senses,Halloween Spooky Ambience (Gapless play),2022-10-26,4KKN1MEhtCzRLB41XOgCCN,https://open.spotify.com/track/4KKN1MEhtCzRLB41XOgCCN,eerie ominous haunting
Eerie Graveyard at Midnight,Solfeggio Healing Frequencies Relaxing Ambience,Spooky Halloween Dark Ambience Scary Horror Music,2024-08-16,2bqHfRxfkzLGtLKdDv1cX2,https://open.spotify.com/track/2bqHfRxfkzLGtLKdDv1cX2,eerie ominous haunting
Dark Eerie Ambience,The Hollywood Edge Sound Effects Library,"Extreme Drones, Vol. 2",2015-05-05,0RixkZT7vA67779Tp2JNLp,https://open.spotify.com/track/0RixkZT7vA67779Tp2JNLp,eerie ominous haunting
Haunted Ambience,Graveyard Ghost Music,Haunted Ambience,2024-09-28,0kUSdkZFsJjoFDOX0p9rUO,https://open.spotify.com/track/0kUSdkZFsJjoFDOX0p9rUO,eerie ominous haunting
Dramatic Ambient Piano,cleanmindsounds,Dramatic Ambient Piano,2023-02-28,0MsqXbvUW0XXoUuIkwVSlS,https://open.spotify.com/track/0MsqXbvUW0XXoUuIkwVSlS,eerie ominous haunting
Ascension,Ambient Realms,"Massive Horror Ambience, Vol. 1",2018-10-11,3r1xwBDqKzzbY6THg7Y6IK,https://open.spotify.com/track/3r1xwBDqKzzbY6THg7Y6IK,eerie ominous haunting
Halloween Ambience Sounds,Creepy Razy,"Spooky Halloween Music: Creepy, Dark, Scary Halloween Ambient Music",2020-10-02,0Y0O1hmBnOnrdwZpJsBhMR,https://open.spotify.com/track/0Y0O1hmBnOnrdwZpJsBhMR,eerie ominous haunting
Gruesome Unearthly,Spooky Music,Atmospheric Spooky Music,2024-12-09,4WunWEJbL7ne7wGDn5oLHG,https://open.spotify.com/track/4WunWEJbL7ne7wGDn5oLHG,eerie ominous haunting
2 Am,Ambient Realms,"Massive Horror Ambience, Vol. 1",2018-10-11,4etNo5ZJ0DuwSunXGcIApO,https://open.spotify.com/track/4etNo5ZJ0DuwSunXGcIApO,eerie ominous haunting
Fearful Witch,Horror Stories,Haunted House Ambience,2025-01-13,1TfG9mo0PfQHl3ZDj17PoJ,https://open.spotify.com/track/1TfG9mo0PfQHl3ZDj17PoJ,eerie ominous haunting
Mystical Forest Ambience with Calls and Creatures,Halloween Sounds,240 Halloween Sounds,2007-07-19,0U1TTkmxK40aMPAW595K27,https://open.spotify.com/track/0U1TTkmxK40aMPAW595K27,eerie ominous haunting
Memories from the Vengeful Spirit,Officio Audiorum,Ambiences of the Far Future: Season II,2019-06-24,3gd447U76H4KEFC20yKhj9,https://open.spotify.com/track/3gd447U76H4KEFC20yKhj9,eerie ominous haunting
Ominous Spirits,Hidden Gateways,Celestial Realms (Ambient),2022-12-16,1SJFM09GDVH6lLeMB5zTnQ,https://open.spotify.com/track/1SJFM09GDVH6lLeMB5zTnQ,eerie ominous haunting
Haunted Shore,Creation VI,Beringia,2019-09-24,6v0UZtU6M46SNUdbmvGLCM,https://open.spotify.com/track/6v0UZtU6M46SNUdbmvGLCM,eerie ominous haunting
Horror Atmosphere Deep Strings - Suspense - Sound Effect to Be Frightend,Todster,"Horror Sounds - Scary Sound Effects to Get the Creeps, Shiver, Frighten, Fear and Halloween Sounds",2016-09-30,2NUvLczcI2wwNx9AOaQY0H,https://open.spotify.com/track/2NUvLczcI2wwNx9AOaQY0H,eerie ominous haunting
Cold Chill,Ambient Realms,"Massive Horror Ambience, Vol. 1",2018-10-11,4JhXxnSFYQ9KmRtKHVIqT8,https://open.spotify.com/track/4JhXxnSFYQ9KmRtKHVIqT8,eerie ominous haunting
Aliens,Ambient Realms,"Massive Ambient SciFi Music, Vol. 1",2016-11-03,036AovYAZ5n1rmKEDTd5qN,https://open.spotify.com/track/036AovYAZ5n1rmKEDTd5qN,eerie ominous haunting
Burial,Atrium Carceri,Sacrosanct,2012-08-07,4Q6CWK5t7VBPvdK6qHE11p,https://open.spotify.com/track/4Q6CWK5t7VBPvdK6qHE11p,eerie ominous haunting
Ghostly Apparitions Haunted Melodies,Solfeggio Healing Frequencies Relaxing Ambience,Spooky Halloween Dark Ambience Scary Horror Music,2024-08-16,4jfjREx1bkyZdvrDgLCpXK,https://open.spotify.com/track/4jfjREx1bkyZdvrDgLCpXK,eerie ominous haunting
Epic Dramatic Evil Music,Sexy Erotic Halloween,"Evil Music - Mysterious, Macabre Ambient",2019-06-11,4RZP0ZkwDCS0gmbQSrCmC6,https://open.spotify.com/track/4RZP0ZkwDCS0gmbQSrCmC6,eerie ominous haunting
Extra Terrestrial,Dynamic Music,Eerie Analogue Tension,2017-02-23,6YSHUw1Uv9iRNx1PEqlHhS,https://open.spotify.com/track/6YSHUw1Uv9iRNx1PEqlHhS,eerie ominous haunting
Hypnosis,Ambient Realms,"Massive Horror Ambience, Vol. 1",2018-10-11,6Qs4FJImi13M0HY5s34aEp,https://open.spotify.com/track/6Qs4FJImi13M0HY5s34aEp,eerie ominous haunting
