track_name,artist_name,album_name,release_date,track_id,spotify_url,mood_keywords
Iridescent Path,Hilyard,Somnolent,2019-10-29,4tHjZx4Z77XSC64Zhai6MG,https://open.spotify.com/track/4tHjZx4Z77XSC64Zhai6MG,atmospheric narrative evocative
Universalis,Hammock,Universalis,2018-12-07,59uFTXSsJoFKBZASI1nymI,https://open.spotify.com/track/59uFTXSsJoFKBZASI1nymI,atmospheric narrative evocative
Understory,Hilyard,United Soundscapes Oriented to Nature [USON01],2020-11-03,2QcNv6TaZEiFBCYuMGWmif,https://open.spotify.com/track/2QcNv6TaZEiFBCYuMGWmif,atmospheric narrative evocative
Forest Ambient Theme,Esteban Mercado,Forests of Augusta (Original Game Soundtrack),2018-11-15,0OjFotpChOKxz8KgoIADpb,https://open.spotify.com/track/0OjFotpChOKxz8KgoIADpb,atmospheric narrative evocative
Deep Cinematic Emotional Ambient,Romansenykmusic,Soft Cinematic Soundtracks,2020-03-19,3jRNm8EjtoBlmtG2yzVwlL,https://open.spotify.com/track/3jRNm8EjtoBlmtG2yzVwlL,atmospheric narrative evocative
Ambient Sad Piano,DS Productions,Ambient Sad Piano,2020-06-24,5EmcZaEDX7da0wWxklX71m,https://open.spotify.com/track/5EmcZaEDX7da0wWxklX71m,atmospheric narrative evocative
Elegy,Hammock,Mysterium,2017-08-25,32INffzZgARvZv1nmnUevY,https://open.spotify.com/track/32INffzZgARvZv1nmnUevY,atmospheric narrative evocative
Ambient Sleep,The 2 Inversions,Ambient Yoga,2018,7jLNHZWFCfOKYf97buGnSc,https://open.spotify.com/track/7jLNHZWFCfOKYf97buGnSc,atmospheric narrative evocative
Stay,The Ambientalist,Stay,2022-09-02,5Z42lXUESohj1cuNeOphlQ,https://open.spotify.com/track/5Z42lXUESohj1cuNeOphlQ,atmospheric narrative evocative
short story eight,Analog Heart,short stories,2020-10-13,58L4mJxggGgp1mjBCet4ZX,https://open.spotify.com/track/58L4mJxggGgp1mjBCet4ZX,atmospheric narrative evocative
Atmospheric Inspiring Piano,DS Productions,Atmospheric Inspiring Piano,2020-11-02,606lhKCyXEYsHgdoutrLxv,https://open.spotify.com/track/606lhKCyXEYsHgdoutrLxv,atmospheric narrative evocative
Cinematic Ambient Corporate Inspiring Emotional,Romansenykmusic,Soft Cinematic Soundtracks,2020-03-19,009zm4nS6Bl2GtHt2iitDA,https://open.spotify.com/track/009zm4nS6Bl2GtHt2iitDA,atmospheric narrative evocative
Preparations,Avith Ortega,Paradise's Reconstruction,2021-03-24,52LUneWfERPZxnaLslQNGq,https://open.spotify.com/track/52LUneWfERPZxnaLslQNGq,atmospheric narrative evocative
Enchanted Forest,Ambient Realms,"Massive Ambient Music, Vol. 4",2016-08-18,4Sy1qiDuiDIiS46x8YrEAS,https://open.spotify.com/track/4Sy1qiDuiDIiS46x8YrEAS,atmospheric narrative evocative
Background for Beauty,Arctic Comfort,Floating Blissful Haze,2018-12-11,1LzTmh3bM3I2FMfj0vMt6F,https://open.spotify.com/track/1LzTmh3bM3I2FMfj0vMt6F,atmospheric narrative evocative
Hourglass,Thomas Farnon,Reverie,2019-01-11,3itYI2O9y2pOoI7IMfhRDa,https://open.spotify.com/track/3itYI2O9y2pOoI7IMfhRDa,atmospheric narrative evocative
Ambient Writer Music,Writing Music Inspire,Jazz for Writing,2019-12-22,3FxeIZ3hv3ZQdUtdrdycCL,https://open.spotify.com/track/3FxeIZ3hv3ZQdUtdrdycCL,atmospheric narrative evocative
Writing Music Ambient,Writing Music Inspire,Writing Music Ambient,2019-12-06,5LYXEa5JPqS9JsNRXkYgd8,https://open.spotify.com/track/5LYXEa5JPqS9JsNRXkYgd8,atmospheric narrative evocative
