track_name,artist_name,album_name,release_date,track_id,spotify_url,mood_keywords
Nostalgic Autumn Jazz,Coffee Lounge Collection,November Jazz Playlist: Café Background Music for Cozy Autumn Mornings,2021-11-18,1F2Ee5B9PynDRANBfotoh8,https://open.spotify.com/track/1F2Ee5B9PynDRANBfotoh8,nostalgic solemn pensive
Melancholy Day,"Silver, Wood & Ivory",Reflections,2004-01-26,3wL2713j3tt8PCfIKXWSvK,https://open.spotify.com/track/3wL2713j3tt8PCfIKXWSvK,nostalgic solemn pensive
Am Morgen (Emotional Piano Instrumentals),Moesync,Silent Reflections (Emotional Piano Instrumentals),2024-12-23,0qz8Y0wY6GD78Dc9ywGIIw,https://open.spotify.com/track/0qz8Y0wY6GD78Dc9ywGIIw,nostalgic solemn pensive
Floating (Emotional Piano Instrumental),Moesync,Melting (Emotional Piano Instrumentals),2024-10-06,0Msr3sh0kAPxGpaujmatZj,https://open.spotify.com/track/0Msr3sh0kAPxGpaujmatZj,nostalgic solemn pensive
Melancholy,Adrián Berenguer,The Art of Loneliness,2019-09-02,4OAEgKXzWodyKmEi8ImPg1,https://open.spotify.com/track/4OAEgKXzWodyKmEi8ImPg1,nostalgic solemn pensive
Parisian Reflections,Sad Piano and Violin,Sad Piano & Violin Instrumental,2021-12-24,01D9F7DRlGML9DmTu1vPF3,https://open.spotify.com/track/01D9F7DRlGML9DmTu1vPF3,nostalgic solemn pensive
Nostalgia,Paul Cardall,The Looking Glass,1999-01-01,7DDIxsZf1cW8LGHg1RzHC7,https://open.spotify.com/track/7DDIxsZf1cW8LGHg1RzHC7,nostalgic solemn pensive
Nostalgia,Ryuichi Sakamoto,THREE,2012-10-17,3kaiHYYH4RE5QITWM4qJKL,https://open.spotify.com/track/3kaiHYYH4RE5QITWM4qJKL,nostalgic solemn pensive
Nostalgic Melody - Cut Mix,Siri Umann,26 Essentials Chill,2024-03-18,2uQhrLTVgedgpz63zytqyo,https://open.spotify.com/track/2uQhrLTVgedgpz63zytqyo,nostalgic solemn pensive
Nostalgy,Alex Syedin,Out of Homeland,2024-05-24,5tUhPBzDEXlHNw59oIBvA4,https://open.spotify.com/track/5tUhPBzDEXlHNw59oIBvA4,nostalgic solemn pensive
Mourners Walk,Sad Piano and Violin,Powerful Emotive Instrumental Music,2021-12-14,2enM2BGINfebxbEyv9GnRt,https://open.spotify.com/track/2enM2BGINfebxbEyv9GnRt,nostalgic solemn pensive
Nostalgic Farm - Instrumental,Easy Listening Music Lounge,Nostalgic Farm (Instrumental),2020-09-02,6zdpiUi3Zn7e6sygnHVmOp,https://open.spotify.com/track/6zdpiUi3Zn7e6sygnHVmOp,nostalgic solemn pensive
Dramatic Ambient Piano,cleanmindsounds,Dramatic Ambient Piano,2023-02-28,0MsqXbvUW0XXoUuIkwVSlS,https://open.spotify.com/track/0MsqXbvUW0XXoUuIkwVSlS,nostalgic solemn pensive
Nostalgia & Grief,Mindspring Memories,Nostalgia & Grief,2021-12-16,6cGCitHCIEvHYImrDwGctf,https://open.spotify.com/track/6cGCitHCIEvHYImrDwGctf,nostalgic solemn pensive
Nostalgic Dreamscape,Jacques Blacque,Beyond Twilight,2023-08-24,07z1rMZnnR3C9T4G7Fnlbi,https://open.spotify.com/track/07z1rMZnnR3C9T4G7Fnlbi,nostalgic solemn pensive
Melancholic Rainy Day,Burcu Gönül,"Dark Academia, Vol I",2021-05-05,4btd9nvd1ZYitXNmduFRxE,https://open.spotify.com/track/4btd9nvd1ZYitXNmduFRxE,nostalgic solemn pensive
Nostalgia,Wuauquikuna,Best of Meditation II,2021-01-08,3X8zNUedsFRBfgRLRPDRWq,https://open.spotify.com/track/3X8zNUedsFRBfgRLRPDRWq,nostalgic solemn pensive
Dreamy Ambient Piano,The Deep Sleep Scientists,Sleeping Music: Music to Sleep to. Gentle Calm Piano and Relaxing Soothing Sounds for a Relaxing Sleep.,2020-07-17,23ClN9Xd1xsAmVoNQysa3B,https://open.spotify.com/track/23ClN9Xd1xsAmVoNQysa3B,nostalgic solemn pensive
Melancholia,Massage Music,Massage Music,2005-04-01,0BUrIfmGAMXGmIzIy8GZue,https://open.spotify.com/track/0BUrIfmGAMXGmIzIy8GZue,nostalgic solemn pensive
Piano Nostalgy,Calm Peaceful Piano,Calm Peaceful Piano,2025-04-01,1y70AVSq0koSO6P6YNaJMx,https://open.spotify.com/track/1y70AVSq0koSO6P6YNaJMx,nostalgic solemn pensive
Nostalgia for Infinity,AstroPilot,Solar Sails,2022-12-09,5HL69WcDLZWsQo31aAr1bq,https://open.spotify.com/track/5HL69WcDLZWsQo31aAr1bq,nostalgic solemn pensive
Ambient Piano Sleep,Piano Peace,"Instrumental Piano For Studying Music, Music For Reading, Focus and Concentration",2020-11-27,75RGFOS74dNP6nHkh1tsVk,https://open.spotify.com/track/75RGFOS74dNP6nHkh1tsVk,nostalgic solemn pensive
Atmospheric Piano,Ambient Space,Ambient Relaxation,2021-05-06,0Z21V50CjznFQQPdBn6jDI,https://open.spotify.com/track/0Z21V50CjznFQQPdBn6jDI,nostalgic solemn pensive
